member,ell,src,EV,Var,D1,D2,exceed,cls
Loc(1),1,est,10.4743,9.67697,1.601e-01,5.991e-03,1,2nd
Loc(1),2,est,5.73715,2.54428,1.438e-01,4.506e-03,1,2nd
Loc(1),4,est,3.36858,0.76255,1.182e-01,2.314e-03,1,2nd
Loc(1),8,est,2.18429,0.29842,8.199e-02,5.397e-04,1,2nd
Loc(1),16,est,1.59214,0.25084,3.618e-02,2.444e-04,1,2nd
Loc(2),1,est,16.47231,19.24106,1.735e-01,3.505e-03,1,2nd
Loc(2),2,est,9.28409,7.31598,1.594e-01,5.636e-03,1,2nd
Loc(2),4,est,5.14204,1.9541,1.417e-01,4.162e-03,1,2nd
Loc(2),8,est,3.07102,0.6171,1.146e-01,1.853e-03,1,2nd
Loc(2),16,est,2.03551,0.26213,7.594e-02,5.950e-05,1,2nd
Loc(4),1,est,25.39361,31.19716,1.850e-01,1.200e-03,1,2nd
Loc(4),2,est,15.35926,17.19778,1.740e-01,3.810e-03,1,2nd
Loc(4),4,est,8.58857,6.12925,1.594e-01,5.523e-03,1,2nd
Loc(4),8,est,4.79429,1.65736,1.414e-01,4.013e-03,1,2nd
Loc(4),16,est,2.89714,0.54323,1.147e-01,1.632e-03,1,2nd
Loc(8),1,est,36.30916,34.90102,1.952e-01,1.801e-04,1,2nd
Loc(8),2,est,24.55974,30.30424,1.843e-01,1.464e-03,1,2nd
Loc(8),4,est,14.73357,16.09181,1.698e-01,4.267e-03,1,2nd
Loc(8),8,est,8.20697,5.53434,1.537e-01,5.836e-03,1,2nd
Loc(8),16,est,4.60349,1.50851,1.364e-01,4.344e-03,1,2nd
Loc(16),1,est,46.659,26.04137,1.999e-01,6.112e-05,1,2nd
Loc(16),2,est,35.83633,34.95111,1.837e-01,1.905e-04,1,2nd
Loc(16),4,est,24.1007,29.64392,1.539e-01,1.659e-03,1,2nd
Loc(16),8,est,14.39492,15.36287,1.250e-01,4.685e-03,1,2nd
Loc(16),16,est,8.00118,5.14618,1.062e-01,6.277e-03,1,2nd
Loc(32),1,est,53.96706,12.53729,2.011e-01,4.088e-05,1,2nd
Loc(32),2,est,45.74335,20.24717,1.742e-01,9.878e-05,1,2nd
Loc(32),4,est,34.54495,23.006,1.165e-01,2.645e-04,1,2nd
Loc(32),8,est,22.64564,15.04499,5.452e-02,4.881e-04,1,2nd
Loc(32),16,est,13.1178,5.48086,1.725e-02,1.174e-03,1,2nd
Perm(identity),1,exact,1.0,0.0,0.000e+00,0.000e+00,0,
Perm(identity),2,exact,1.0,0.0,0.000e+00,0.000e+00,0,
Perm(identity),4,exact,1.0,0.0,0.000e+00,0.000e+00,0,
Perm(identity),8,exact,1.0,0.0,0.000e+00,0.000e+00,0,
Perm(identity),16,exact,1.0,0.0,0.000e+00,0.000e+00,0,
Perm(shift-1),1,exact,65.0,0.0,1.974e-01,0.000e+00,1,2nd
Perm(shift-1),2,exact,33.0,0.0,1.947e-01,0.000e+00,1,2nd
Perm(shift-1),4,exact,17.0,0.0,1.885e-01,0.000e+00,1,2nd
Perm(shift-1),8,exact,9.0,0.0,1.771e-01,0.000e+00,1,2nd
Perm(shift-1),16,exact,5.0,0.0,1.575e-01,0.000e+00,1,2nd
Perm(shift-4),1,exact,64.0,0.0,1.975e-01,0.000e+00,1,2nd
Perm(shift-4),2,exact,64.0,0.0,1.373e-01,0.000e+00,1,2nd
