member,resolution,predictor,value
Loc(1),1,N_blk,10.47430237694731
Loc(1),1,S_blk,9.67697136996884
Loc(1),2,N_blk,5.737151188473655
Loc(1),2,S_blk,2.5442790487616644
Loc(1),4,N_blk,3.3685755942368285
Loc(1),4,S_blk,0.762551538884584
Loc(1),8,N_blk,2.1842877971184143
Loc(1),8,S_blk,0.2984238213790602
Loc(1),16,N_blk,1.5921438985592076
Loc(1),16,S_blk,0.25083770803606154
Loc(2),1,N_blk,16.472309007239602
Loc(2),1,S_blk,19.241063237481082
Loc(2),2,N_blk,9.28408819118015
Loc(2),2,S_blk,7.315977745079634
Loc(2),4,N_blk,5.142044095590074
Loc(2),4,S_blk,1.9541045650682038
Loc(2),8,N_blk,3.0710220477950365
Loc(2),8,S_blk,0.6171012321511545
Loc(2),16,N_blk,2.0355110238975165
Loc(2),16,S_blk,0.2621329134495369
Loc(4),1,N_blk,25.393605810167543
Loc(4),1,S_blk,31.19716357444508
Loc(4),2,N_blk,15.359258986249248
Loc(4),2,S_blk,17.197778169488792
Loc(4),4,N_blk,8.588574434362624
Loc(4),4,S_blk,6.129252060859227
Loc(4),8,N_blk,4.794287217181312
Loc(4),8,S_blk,1.6573594861169703
Loc(4),16,N_blk,2.897143608590654
Loc(4),16,S_blk,0.5432304828673852
Loc(8),1,N_blk,36.3091648035965
Loc(8),1,S_blk,34.90102456734047
Loc(8),2,N_blk,24.559743701360183
Loc(8),2,S_blk,30.304238409773472
Loc(8),4,N_blk,14.73357331905985
Loc(8),4,S_blk,16.091814058677993
Loc(8),8,N_blk,8.206974445905661
Loc(8),8,S_blk,5.53433765957114
Loc(8),16,N_blk,4.603487222820785
Loc(8),16,S_blk,1.50850510824949
Loc(16),1,N_blk,46.65899952008459
Loc(16),1,S_blk,26.041369789098514
Loc(16),2,N_blk,35.83632756025919
Loc(16),2,S_blk,34.951114605502354
Loc(16),4,N_blk,24.10069979902694
Loc(16),4,S_blk,29.643915982586808
Loc(16),8,N_blk,14.394920547617776
Loc(16),8,S_blk,15.362867150340838
Loc(16),16,N_blk,8.001180580295763
Loc(16),16,S_blk,5.1461763526930415
Loc(32),1,N_blk,53.967055109776666
Loc(32),1,S_blk,12.537288180991428
Loc(32),2,N_blk,45.743350819791516
Loc(32),2,S_blk,20.247170168133422
Loc(32),4,N_blk,34.54495269435543
Loc(32),4,S_blk,23.006004743729896
Loc(32),8,N_blk,22.645644131614645
Loc(32),8,S_blk,15.044990492112131
Loc(32),16,N_blk,13.117796292824405
Loc(32),16,S_blk,5.4808645603262915
Perm(identity),1,N_blk,1.0
Perm(identity),1,S_blk,0.0
Perm(identity),2,N_blk,1.0
Perm(identity),2,S_blk,0.0
Perm(identity),4,N_blk,1.0
Perm(identity),4,S_blk,0.0
Perm(identity),8,N_blk,1.0
Perm(identity),8,S_blk,0.0
Perm(identity),16,N_blk,1.0
Perm(identity),16,S_blk,0.0
Perm(shift-1),1,N_blk,65.0
Perm(shift-1),1,S_blk,0.0
Perm(shift-1),2,N_blk,33.0
Perm(shift-1),2,S_blk,0.0
Perm(shift-1),4,N_blk,17.0
Perm(shift-1),4,S_blk,0.0
Perm(shift-1),8,N_blk,9.0
Perm(shift-1),8,S_blk,0.0
Perm(shift-1),16,N_blk,5.0
Perm(shift-1),16,S_blk,0.0
Perm(shift-4),1,N_blk,64.0
Perm(shift-4),1,S_blk,0.0
Perm(shift-4),2,N_blk,64.0
Perm(shift-4),2,S_blk,0.0
Perm(shift-4),4,N_blk,64.0
Perm(shift-4),4,S_blk,0.0
Perm(shift-4),8,N_blk,32.0
Perm(shift-4),8,S_blk,0.0
Perm(shift-4),16,N_blk,16.0
Perm(shift-4),16,S_blk,0.0
Perm(shift-16),1,N_blk,16.0
Perm(shift-16),1,S_blk,0.0
Perm(shift-16),2,N_blk,16.0
Perm(shift-16),2,S_blk,0.0
Perm(shift-16),4,N_blk,16.0
Perm(shift-16),4,S_blk,0.0
Perm(shift-16),8,N_blk,16.0
Perm(shift-16),8,S_blk,0.0
Perm(shift-16),16,N_blk,16.0
Perm(shift-16),16,S_blk,0.0
Perm(shift-64),1,N_blk,4.0
Perm(shift-64),1,S_blk,0.0
Perm(shift-64),2,N_blk,4.0
Perm(shift-64),2,S_blk,0.0
Perm(shift-64),4,N_blk,4.0
Perm(shift-64),4,S_blk,0.0
Perm(shift-64),8,N_blk,4.0
Perm(shift-64),8,S_blk,0.0
Perm(shift-64),16,N_blk,4.0
Perm(shift-64),16,S_blk,0.0
Perm(random-0),1,N_blk,56.109375
Perm(random-0),1,S_blk,368.363037109375
Perm(random-0),2,N_blk,47.34375
Perm(random-0),2,S_blk,247.1240234375
Perm(random-0),4,N_blk,37.3671875
Perm(random-0),4,S_blk,126.04486083984375
Perm(random-0),8,N_blk,25.5234375
Perm(random-0),8,S_blk,41.89007568359375
Perm(random-0),16,N_blk,14.4296875
Perm(random-0),16,S_blk,7.54974365234375
Perm(random-1),1,N_blk,54.3671875
Perm(random-1),1,S_blk,305.62298583984375
Perm(random-1),2,N_blk,48.6015625
Perm(random-1),2,S_blk,240.92718505859375
Perm(random-1),4,N_blk,38.48046875
Perm(random-1),4,S_blk,120.12461853027344
Perm(random-1),8,N_blk,25.97265625
Perm(random-1),8,S_blk,32.67503356933594
Perm(random-1),16,N_blk,15.07421875
Perm(random-1),16,S_blk,6.4827728271484375
Perm(random-2),1,N_blk,50.796875
Perm(random-2),1,S_blk,357.677490234375
Perm(random-2),2,N_blk,43.6640625
Perm(random-2),2,S_blk,225.91058349609375
Perm(random-2),4,N_blk,35.01171875
Perm(random-2),4,S_blk,104.60533142089844
Perm(random-2),8,N_blk,24.81640625
Perm(random-2),8,S_blk,34.97019958496094
Perm(random-2),16,N_blk,14.87109375
Perm(random-2),16,S_blk,6.8779144287109375
Mix(0.02),1,N_blk,2.271867364723562
Mix(0.02),1,S_blk,1.2404707160290855
Mix(0.02),2,N_blk,2.2637693555585043
Mix(0.02),2,S_blk,1.2266780294284043
Mix(0.02),4,N_blk,2.24767659820008
Mix(0.02),4,S_blk,1.199497404175487
Mix(0.02),8,N_blk,2.2158998450566543
Mix(0.02),8,S_blk,1.146720615287049
Mix(0.02),16,N_blk,2.1539477016122586
Mix(0.02),16,S_blk,1.047237521058798
Mix(0.05),1,N_blk,4.1679683264301275
Mix(0.05),1,S_blk,2.97432603114463
Mix(0.05),2,N_blk,4.136246134910835
Mix(0.05),2,S_blk,2.910034795206746
Mix(0.05),4,N_blk,4.07371731306494
Mix(0.05),4,S_blk,2.7854869165107625
Mix(0.05),8,N_blk,3.9522336436188183
Mix(0.05),8,S_blk,2.551765961240928
Mix(0.05),16,N_blk,3.7228839163385814
Mix(0.05),16,S_blk,2.140161641533822
Mix(0.1),1,N_blk,7.297187121279194
Mix(0.1),1,S_blk,5.539546278034761
Mix(0.1),2,N_blk,7.196223789828744
Mix(0.1),2,S_blk,5.327469405492706
Mix(0.1),4,N_blk,6.999700630580861
Mix(0.1),4,S_blk,4.92719935149737
Mix(0.1),8,N_blk,6.627293427099353
Mix(0.1),8,S_blk,4.214092249341903
Mix(0.1),16,N_blk,5.957812507887793
Mix(0.1),16,S_blk,3.0811734607388326
Mix(0.2),1,N_blk,13.441236743356093
Mix(0.2),1,S_blk,9.541482367445255
Mix(0.2),2,N_blk,13.094634604503113
Mix(0.2),2,S_blk,8.889806772774122
Mix(0.2),4,N_blk,12.436112448622339
Mix(0.2),4,S_blk,7.715011086255753
Mix(0.2),8,N_blk,11.246145849634928
Mix(0.2),8,S_blk,5.805675406628633
Mix(0.2),16,N_blk,9.293963171759856
Mix(0.2),16,S_blk,3.2797181354103366
Mix(0.5),1,N_blk,30.990794282599712
Mix(0.5),1,S_blk,14.104646094259742
Mix(0.5),2,N_blk,29.140709611858355
Mix(0.5),2,S_blk,12.366539423259894
Mix(0.5),4,N_blk,25.863517539047137
Mix(0.5),4,S_blk,9.382551663105955
Mix(0.5),8,N_blk,20.685417748438734
Mix(0.5),8,S_blk,5.202960929199881
Mix(0.5),16,N_blk,14.033739512822844
Mix(0.5),16,S_blk,1.4759134174430522
"Block(4,0.02)",1,N_blk,47.276401503246845
"Block(4,0.02)",1,S_blk,30.398221596352247
"Block(4,0.02)",2,N_blk,36.283521171560814
"Block(4,0.02)",2,S_blk,47.560510263162136
"Block(4,0.02)",4,N_blk,24.12318690137476
"Block(4,0.02)",4,S_blk,45.85315407813571
"Block(4,0.02)",8,N_blk,14.144724469284743
"Block(4,0.02)",8,S_blk,24.36619516835757
"Block(4,0.02)",16,N_blk,7.681349714026476
"Block(4,0.02)",16,S_blk,8.575758527704762
"Block(4,0.1)",1,N_blk,54.204482487534406
"Block(4,0.1)",1,S_blk,12.547772902791131
"Block(4,0.1)",2,N_blk,46.08978153470133
"Block(4,0.1)",2,S_blk,20.114069283622296
"Block(4,0.1)",4,N_blk,34.94353333885852
"Block(4,0.1)",4,S_blk,22.0676627372082
"Block(4,0.1)",8,N_blk,22.970489540417955
"Block(4,0.1)",8,S_blk,13.532214318152231
"Block(4,0.1)",16,N_blk,13.289174015027239
"Block(4,0.1)",16,S_blk,4.73232587209812
"Block(16,0.02)",1,N_blk,25.000178388064253
"Block(16,0.02)",1,S_blk,57.75890529045372
"Block(16,0.02)",2,N_blk,14.935591594290614
"Block(16,0.02)",2,S_blk,33.553970333420516
"Block(16,0.02)",4,N_blk,8.237860379900104
"Block(16,0.02)",4,S_blk,12.870783502233241
"Block(16,0.02)",8,N_blk,4.338136806310933
"Block(16,0.02)",8,S_blk,3.981389443577602
"Block(16,0.02)",16,N_blk,2.2276917408325545
"Block(16,0.02)",16,S_blk,1.1070150172323532
"Block(16,0.1)",1,N_blk,41.63091570023849
"Block(16,0.1)",1,S_blk,38.53046641070914
"Block(16,0.1)",2,N_blk,30.37532176315112
"Block(16,0.1)",2,S_blk,37.64564879359469
"Block(16,0.1)",4,N_blk,19.609823204013253
