member,member_index,resolution,predictor,value
Loc(1),0,1,P1(a=0),256.0
Loc(1),0,1,P1(a=1),255.99999999999994
Loc(1),0,1,P1(a=2),256.0
Loc(1),0,1,P2,256.0
Loc(1),0,1,P2_mean,256.0
Loc(1),0,1,P3,0.4999999999999978
Loc(1),0,1,P4,nan
Loc(1),0,1,P4_method,not-solved
Loc(1),0,1,P4-int,256.0
Loc(1),0,1,P5_outdeg,3.0
Loc(1),0,1,P5_persist,0.33333333333333326
Loc(1),0,1,P6,284.580169971933
Loc(1),0,1,P7(1),2.7835871049945212e+16
Loc(1),0,1,P7(2),4270177395944849.5
Loc(1),0,1,P7_method,closed
Loc(1),0,1,P7_se,0.0
Loc(1),0,1,P8,0.9999999999999969
Loc(1),0,1,P8_min,0.9999999999999971
Loc(1),0,2,P1(a=0),128.0
Loc(1),0,2,P1(a=1),127.99999999999997
Loc(1),0,2,P1(a=2),128.0
Loc(1),0,2,P2,128.0
Loc(1),0,2,P2_mean,128.0
Loc(1),0,2,P3,0.4999999999999978
Loc(1),0,2,P4,nan
Loc(1),0,2,P4_method,not-solved
Loc(1),0,2,P4-int,128.0
Loc(1),0,2,P5_outdeg,3.0
Loc(1),0,2,P5_persist,0.6666666666666666
Loc(1),0,2,P6,255.00589026804187
Loc(1),0,2,P7(1),99986.13801725046
Loc(1),0,2,P7(2),499995000.00000006
Loc(1),0,2,P7_method,mc
Loc(1),0,2,P7_distinct,99990.0
Loc(1),0,2,P7_samples,100000.0
Loc(1),0,2,P8,0.9999999999999969
Loc(1),0,2,P8_min,0.9999999999999971
Loc(1),0,4,P1(a=0),64.0
Loc(1),0,4,P1(a=1),63.999999999999986
Loc(1),0,4,P1(a=2),64.0
Loc(1),0,4,P2,64.0
Loc(1),0,4,P2_mean,64.0
Loc(1),0,4,P3,0.4999999999999978
Loc(1),0,4,P4,0.9999999999999997
Loc(1),0,4,P4_method,solved
Loc(1),0,4,P4-int,64.0
Loc(1),0,4,P5_outdeg,3.0
Loc(1),0,4,P5_persist,0.8333333333333333
Loc(1),0,4,P6,229.9390300416028
Loc(1),0,4,P7(1),48359.892243029906
Loc(1),0,4,P7(2),52157.24523538801
Loc(1),0,4,P7_method,mc
Loc(1),0,4,P7_distinct,61930.0
Loc(1),0,4,P7_samples,100000.0
Loc(1),0,4,P8,0.9999999999999972
Loc(1),0,4,P8_min,0.9999999999999971
Loc(1),0,8,P1(a=0),32.0
Loc(1),0,8,P1(a=1),32.0
Loc(1),0,8,P1(a=2),32.0
Loc(1),0,8,P2,32.0
Loc(1),0,8,P2_mean,32.0
Loc(1),0,8,P3,0.4999999999999978
Loc(1),0,8,P4,1.0
Loc(1),0,8,P4_method,solved
Loc(1),0,8,P4-int,32.0
Loc(1),0,8,P5_outdeg,3.0
Loc(1),0,8,P5_persist,0.9166666666666667
Loc(1),0,8,P6,199.75280990060182
Loc(1),0,8,P7(1),1989.1107862964236
Loc(1),0,8,P7(2),1178.5894359143836
Loc(1),0,8,P7_method,mc
Loc(1),0,8,P7_distinct,7174.0
Loc(1),0,8,P7_samples,100000.0
Loc(1),0,8,P8,0.999999999999997
Loc(1),0,8,P8_min,0.999999999999997
Loc(1),0,16,P1(a=0),16.0
Loc(1),0,16,P1(a=1),15.999999999999996
Loc(1),0,16,P1(a=2),16.0
Loc(1),0,16,P2,16.0
Loc(1),0,16,P2_mean,16.0
Loc(1),0,16,P3,0.4999999999999978
Loc(1),0,16,P4,0.9999999999999997
Loc(1),0,16,P4_method,solved
Loc(1),0,16,P4-int,16.0
Loc(1),0,16,P5_outdeg,3.0
Loc(1),0,16,P5_persist,0.9583333333333333
Loc(1),0,16,P6,164.51215250990543
Loc(1),0,16,P7(1),195.1779298712662
Loc(1),0,16,P7(2),84.30328037460706
Loc(1),0,16,P7_method,mc
Loc(1),0,16,P7_distinct,991.0
Loc(1),0,16,P7_samples,100000.0
Loc(1),0,16,P8,0.9999999999999968
Loc(1),0,16,P8_min,0.9999999999999968
Loc(2),1,1,P1(a=0),256.0
Loc(2),1,1,P1(a=1),255.99999999999994
Loc(2),1,1,P1(a=2),256.0
Loc(2),1,1,P2,256.0
Loc(2),1,1,P2_mean,256.0
Loc(2),1,1,P3,0.5000000000000017
Loc(2),1,1,P4,nan
Loc(2),1,1,P4_method,not-solved
Loc(2),1,1,P4-int,256.0
Loc(2),1,1,P5_outdeg,5.0
Loc(2),1,1,P5_persist,0.20000000000000004
Loc(2),1,1,P6,251.88733005090955
Loc(2),1,1,P7(1),2.258123231223301e+34
Loc(2),1,1,P7(2),8.542847295808685e+31
Loc(2),1,1,P7_method,closed
Loc(2),1,1,P7_se,0.0
Loc(2),1,1,P8,1.000000000000004
Loc(2),1,1,P8_min,1.0000000000000044
Loc(2),1,2,P1(a=0),128.0
Loc(2),1,2,P1(a=1),127.99999999999997
Loc(2),1,2,P1(a=2),128.0
Loc(2),1,2,P2,128.0
Loc(2),1,2,P2_mean,128.0
Loc(2),1,2,P3,0.5000000000000017
Loc(2),1,2,P4,nan
Loc(2),1,2,P4_method,not-solved
